frame_id,steering_angle
1477439511811721729,1
1477439597173798880,1
1477439717240636315,2
1477439614826225472,1
1477439556718102526,2
1477439727642341252,1
1477439612825925725,1
1477439613526155492,2
1477439662332895974,0
1477439493959199967,2
1477439571920193975,2
1477439612075968188,1
1477439696087636757,1
1477439405597034680,1
1477439409697358560,1
1477439619426898152,1
1477439604124962834,1
1477439546216682233,1
1477439618876841275,2
1477439519512891410,1
1477439472306280744,2
1477439701338381698,2
1477439644130460544,2
1477439687086442959,1
1477439649781209625,1
1477439689936853063,1
1477439415298768991,2
1477439593223291721,2
1477439700938387930,2
1477439590072865995,2
1477439637379460584,1
1477439490058651286,1
1477439732642720759,1
1477439714690308966,1
1477439450453528069,1
1477439501710365955,2
1477439727392056055,1
1477439687236447284,1
1477439510411531330,2
1477439605775063659,1
1477439633578917346,2
1477439421901083205,2
1477439429350209545,2
1477439722841384511,1
1477439654282024424,0
1477439713540087005,1
1477439582521658937,1
1477439492108943000,2
1477439721991264414,1
1477439425099725138,1
1477439700538226610,2
1477439542466089461,1
1477439490558767809,1
1477439403596614432,1
1477439444952314207,2
1477439434201069847,1
1477439474356503780,1
1477439424349503688,1
1477439596273718451,2
1477439522063222442,2
1477439613126096256,2
1477439423399431247,1
1477439480757419645,1
1477439594173431142,2
1477439479007122025,1
1477439450052985131,0
1477439502160415903,1
1477439523363412706,1
1477439466555415078,2
1477439642930361664,1
1477439533414753020,2
1477439540867286431,2
1477439558218272127,2
1477439451903362543,1
1477439670183995211,1
1477439684586019415,1
1477439542366062034,1
1477439533664856704,2
1477439629678364254,2
1477439628678201683,3
1477439545366586986,1
1477439570371599530,2
1477439448802860265,0
1477439583572007974,1
1477439534915033059,2
1477439629628343526,2
1477439691687029579,2
1477439643880343789,1
1477439408547257699,1
1477439568269777432,2
1477439560718601261,2
1477439520162903849,1
1477439701838681883,2
1477439466305401011,2
1477439669183928956,0
1477439661432887528,0
1477439627728064228,2
1477439518112669813,2
1477439590522799778,1
1477439482057746857,1
1477439645030441214,2
1477439595724760606,1
1477439418498658795,2
1477439501360731549,2
1477439674134605857,2
1477439615776520491,1
1477439601324437786,2
1477439467105547362,3
1477439598774073335,1
1477439410348949130,0
1477439707439461663,2
1477439633129020074,2
1477439552717428942,2
1477439525113648845,2
1477439469555854575,1
1477439409347383059,1
1477439470055904633,0
1477439565869374838,2
1477439669834124817,0
1477439610175559536,3
1477439502810491600,2
1477439561768744273,2
1477439558068205612,2
1477439418048595479,2
1477439628478190736,2
1477439721241165362,2
1477439576520821193,1
1477439725391884517,2
1477439403796509561,0
1477439664483251002,1
1477439684036013475,3
1477439560568674670,2
1477439562468885173,2
1477439694687470219,3
1477439461504631012,1
1477439527414009967,2
1477439658932425705,1
1477439531764591593,1
1477439516512372151,2
1477439496359586762,1
1477439435451039047,2
1477439642030055070,1
1477439505460853321,1
1477439512911931087,1
1477439701738665513,2
1477439537215313009,1
1477439536815342175,2
1477439446952657167,2
1477439723641583501,1
1477439712590038457,4
1477439529414314231,2
1477439410447462557,0
1477439697487902177,2
1477439575020539827,2
1477439557368156496,2
1477439672384503829,1
1477439709989912459,1
1477439516262404409,2
1477439693937331363,2
1477439652031428113,1
1477439563669095351,1
1477439600724225478,0
1477439452403609123,1
1477439661732921419,0
1477439538265451761,1
1477439523613374656,2
1477439497109639395,2
1477439422299226013,1
1477439692237152401,1
1477439513661978025,1
1477439626577871992,2
1477439463805214173,1
1477439435651073848,1
1477439488908487813,1
1477439712990145426,2
1477439718490847247,2
1477439645230479131,1
1477439653331629621,1
1477439538965486929,1
1477439666833572558,1
1477439597473775223,1
1477439464355218142,2
1477439492509002286,2
1477439519112750508,1
1477439568819831320,2
1477439689737653475,1
1477439455403930183,0
1477439443803566092,2
1477439425849639236,1
1477439596073701787,2
1477439702388452274,1
1477439660682677347,2
1477439544516281606,1
1477439644730475700,1
1477439569069777808,2
1477439668733798411,0
1477439586822287844,2
1477439576720850084,1
1477439544466417467,1
1477439440751726778,1
1477439447502869530,0
1477439578321172179,1
1477439453603528393,1
1477439466455482366,1
1477439482407615175,1
1477439642730213900,2
1477439557068297627,2
1477439676734928642,2
1477439524363544753,2
1477439456303855746,0
1477439482257679985,1
1477439623927606884,2
1477439457704273868,1
1477439525563709326,2
1477439427649962216,1
1477439501660290931,2
1477439597823950056,1
1477439428500090625,1
1477439640479869561,1
1477439495109474673,2
1477439478257139150,1
1477439594573353175,1
1477439561718930086,2
1477439718840683783,2
1477439418898723314,4
1477439500760166045,2
1477439565369869681,2
1477439609275439793,2
1477439499109925024,1
1477439489058667150,1
1477439411197632525,1
1477439433050731240,2
1477439719040857679,2
1477439726741883980,1
1477439653181652513,1
1477439592473128326,2
1477439504210650265,1
1477439646530835666,1
1477439724941776396,1
1477439672184333186,1
1477439454153828166,1
1477439608725348699,2
1477439635229088258,1
1477439579171327709,2
1477439548967061126,1
1477439615676509217,1
1477439445152375621,1
1477439475106575626,1
1477439419798869801,2
1477439715040243498,1
1477439445202404248,1
1477439564419205713,2
1477439701538644688,2
1477439446602614666,2
1477439411247582693,1
1477439493259105952,1
1477439730092352812,1
1477439481107518094,1
1477439416698430641,1
1477439710839701058,4
1477439527163935088,2
1477439473056266102,1
1477439624577644970,2
1477439662082829025,0
1477439628628223419,3
1477439581621585566,1
1477439620476999392,1
1477439507561144268,1
1477439677735077607,2
1477439595623514147,1
1477439668833928418,0
1477439649031030906,1
1477439503760573018,1
1477439470355987604,1
1477439641830119510,1
1477439551867359580,2
1477439612876036955,1
1477439683435894907,2
1477439662532928503,0
1477439480957439423,1
1477439721541284079,1
1477439604276115375,1
1477439598374026095,1
